Block,Treat,Rep,Cage,Time,Ini ad,Ini nym,adtot,nymtot,IGR,adtop,nymtop,addist,nymdist,logtop
2,C,2,C12,3,14,27,17,146,9.099163386,0.294117647,0.51369863,1.323529412,0.650684932,-0.380211242
2,C,3,C13,3,13,25,10,81,5.75,0.1,0.074074074,1.75,0.833333333,-0.954242509
2,C,4,C14,3,14,31,10,115,7.651651652,0.6,0.417391304,1.25,0.391304348,0.176091259
2,C,5,C15,3,13,39,12,103,7.912242687,0.083333333,0.126213592,0.416666667,0.266990291,-1.041392687
2,C,6,C16,3,16,29,10,93,7.144970414,0.4,0.408602151,0.5,0.215053763,-0.176091259
2,C,7,C17,3,14,32,11,128,9.812217195,0.363636364,0.4609375,0.681818182,0.48828125,-0.243038048
2,C,8,C18,3,14,38,11,123,8.193055556,0.454545455,0.552845528,0,0.12195122,-0.079181245
2,C,9,C19,3,15,32,11,154,10.99084249,0.272727273,0.350649351,0.909090909,0.357142857,-0.425968732
2,C,10,C110,3,15,25,12,113,8.651515152,0.166666667,0.185840708,1.666666667,0.884955752,-0.698970003
2,LR,1,LR11,3,14,31,14,108,7.70690673,0.5,0.425925926,0.892857143,0.231481481,0
2,LR,2,LR12,3,13,21,10,87,6.113992172,0.2,0.298850575,2,1.867816092,-0.602059991
2,LR,3,LR13,3,13,19,11,56,4.258897819,0.454545455,0.446428571,1.136363636,1.026785714,-0.079181245
2,LR,4,LR14,3,15,32,9,86,7.148662551,0.666666667,0.511627907,0.277777778,0.348837209,0.301029996
2,LR,5,LR15,3,14,27,11,77,5.44047619,0.636363636,0.662337662,1.818181818,1.071428571,0.243038048
2,LR,6,LR16,3,15,47,14,112,7.464835165,0.357142857,0.580357143,0.892857143,0.379464286,-0.255272505
2,LR,7,LR17,3,12,37,3,24,1.69124424,0.666666667,0.25,3.333333333,2.604166667,0.301029996
2,LR,8,LR18,3,13,28,13,79,5.553571429,0.307692308,0.303797468,1.730769231,0.85443038,-0.352182517
2,LR,9,LR19,3,14,24,12,110,8.390894819,0.416666667,0.263636364,1.875,1.022727273,-0.146128035
2,LR,10,LR110,3,13,26,14,161,11.46173469,0.357142857,0.47826087,1.428571429,0.760869565,-0.255272505
2,LL,1,LL11,3,13,31,6,54,4.0592686,0.333333333,0.222222222,3.75,2.037037037,-0.301029996
2,LL,2,LL12,3,14,29,4,55,3.915343915,0.25,0.4,0.625,0.545454545,-0.477121255
2,LL,3,LL13,3,14,36,7,53,3.998960499,0.285714286,0.226415094,1.785714286,1.41509434,-0.397940008
2,LL,4,LL14,3,15,39,12,93,7.13154961,0.333333333,0.516129032,1.25,0.860215054,-0.301029996
2,LL,5,LL15,3,15,40,10,82,5.816326531,0.1,0.256097561,1.5,1.067073171,-0.954242509
2,LL,6,LL16,3,13,30,8,56,4.62808642,0.375,0.660714286,1.25,1.071428571,-0.22184875
2,LL,7,LL17,3,15,55,10,99,6.541580756,0.2,0.080808081,1.25,1.085858586,-0.602059991
2,LL,8,LL18,3,12,36,10,59,4.203781513,0.3,0.593220339,0.75,0.805084746,-0.367976785
2,LL,9,LL19,3,11,20,8,86,6.110754414,0.625,0.418604651,0.3125,0.319767442,0.22184875
2,LL,10,LL110,3,12,28,7,55,4.540719697,0.285714286,0.4,2.857142857,1.090909091,-0.397940008
2,HR,1,HR11,3,13,40,11,101,7.173407917,0.363636364,0.297029703,1.363636364,1.410891089,-0.243038048
2,HR,2,HR12,3,14,43,9,91,6.039240506,0.777777778,0.604395604,0.555555556,0.384615385,0.544068045
2,HR,3,HR13,3,15,33,10,84,5.591071429,0.3,0.357142857,0.25,0.267857143,-0.367976785
2,HR,4,HR14,3,14,52,10,75,5.220156556,0.4,0.653333333,2,2.166666667,-0.176091259
2,HR,5,HR15,3,14,33,11,70,4.605633803,0.454545455,0.3,2.045454545,1.035714286,-0.079181245
2,HR,6,HR16,3,15,34,10,70,6.291866029,0.3,0.214285714,1.5,0.678571429,-0.367976785
2,HR,7,HR17,3,14,24,11,110,7.823359073,0.545454545,0.518181818,1.818181818,0.681818182,0.079181245
2,HR,8,HR18,3,14,31,11,92,6.549843014,0.545454545,0.456521739,2.045454545,1.114130435,0.079181245
2,HR,9,HR19,3,14,41,10,122,10.1297043,0.5,0.475409836,0.75,0.286885246,0
2,HR,10,HR110,3,14,34,13,111,7.857600733,0.230769231,0.234234234,2.692307692,1.238738739,-0.522878745
2,HL,1,HL11,3,14,35,11,78,5.887019231,0.454545455,0.282051282,2.5,1.730769231,-0.079181245
2,HL,2,HL12,3,13,50,5,29,1.801257862,0.4,0.448275862,2.5,1.982758621,-0.176091259
2,HL,3,HL13,3,14,44,9,55,3.860182371,0.666666667,0.309090909,2.777777778,2.045454545,0.301029996
2,HL,4,HL14,3,12,36,9,51,3.880022962,0.111111111,0.294117647,1.388888889,0.637254902,-0.903089987
2,HL,5,HL15,3,14,30,3,41,2.696296296,1,0.268292683,1.666666667,1.036585366,1
2,HL,6,HL16,3,13,26,7,51,4.160714286,0.714285714,0.666666667,2.857142857,1.519607843,0.397940008
2,HL,7,HL17,3,14,48,2,18,1.112903226,0.5,0.277777778,2.5,1.805555556,0
2,HL,8,HL18,3,12,36,5,69,4.897321429,0.6,0.347826087,2,1.195652174,0.176091259
2,HL,9,HL19,3,14,41,7,37,2.459930314,0.142857143,0.162162162,3.571428571,3.243243243,-0.77815125
2,HL,10,HL110,3,13,27,3,38,2.858974359,0.333333333,0.105263158,5,0.986842105,-0.301029996
